timestamp,ticket,direction,entry,sl,tp,atr,rr,confidence,status
2025-12-01 19:56:11,"OrderSendResult(retcode=10009, deal=2508486537, order=2841136142, volume=0.19, price=4247.188, bid=4247.028, ask=4247.188, comment='agentic-bot', request_id=3593401220, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.19, price=0.0, stoplimit=0.0, sl=4240.717857142857, tp=4267.15042857143, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4247.326,4240.717857142857,4267.15042857143,1.9689285714287377,3.0,71,OPEN
2025-12-01 19:57:20,"OrderSendResult(retcode=10009, deal=2508497754, order=2841148193, volume=0.32, price=4245.449, bid=4245.289, ask=4245.449, comment='agentic-bot', request_id=3593401221, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.32, price=0.0, stoplimit=0.0, sl=4240.629857142857, tp=4252.552285714287, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4244.604,4240.629857142857,4252.552285714287,2.0789285714287353,2.0,70,OPEN
2025-12-01 19:58:27,"OrderSendResult(retcode=10009, deal=2508506150, order=2841157448, volume=0.22, price=4246.425, bid=4246.265, ask=4246.425, comment='agentic-bot', request_id=3593401222, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.22, price=0.0, stoplimit=0.0, sl=4240.565914285714, tp=4264.15025714286, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4246.462,4240.565914285714,4264.15025714286,2.1588571428573493,3.0,78,OPEN
2025-12-01 19:59:34,"OrderSendResult(retcode=10009, deal=2508516630, order=2841168602, volume=0.19, price=4247.66, bid=4247.5, ask=4247.66, comment='agentic-bot', request_id=3593401223, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.19, price=0.0, stoplimit=0.0, sl=4240.556542857143, tp=4267.914371428571, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4247.396,4240.556542857143,4267.914371428571,2.1705714285716176,3.0,71,OPEN
2025-12-01 20:00:43,"OrderSendResult(retcode=10009, deal=2508527992, order=2841182521, volume=0.21, price=4245.477, bid=4245.317, ask=4245.477, comment='agentic-bot', request_id=3593401224, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.21, price=0.0, stoplimit=0.0, sl=4240.546885714285, tp=4264.551342857144, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4246.548,4240.546885714285,4264.551342857144,2.182642857143037,3.0,75,OPEN
2025-12-01 20:01:50,"OrderSendResult(retcode=10014, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Invalid volume', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.0, price=0.0, stoplimit=0.0, sl=4238.077171428571, tp=4251.090657142858, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4242.415,4238.077171428571,4251.090657142858,2.5797857142859226,2.0,70,OPEN
2025-12-01 20:02:59,"OrderSendResult(retcode=10014, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Invalid volume', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.0, price=0.0, stoplimit=0.0, sl=4237.833742857142, tp=4266.330771428572, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4244.958,4237.833742857142,4266.330771428572,2.8840714285715876,3.0,75,OPEN
2025-12-01 20:04:06,"OrderSendResult(retcode=10014, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Invalid volume', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.0, price=0.0, stoplimit=0.0, sl=4237.825285714285, tp=4260.321428571428, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4245.324,4237.825285714285,4260.321428571428,2.894642857143026,2.0,70,OPEN
2025-12-01 20:05:10,"OrderSendResult(retcode=10014, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Invalid volume', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.0, price=0.0, stoplimit=0.0, sl=4237.833628571428, tp=4260.992300000002, deviation=0, type=0, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",buy,4242.98,4237.833628571428,4260.992300000002,2.884214285714409,3.5,82,OPEN
2025-12-02 22:50:40,"OrderSendResult(retcode=10009, deal=2519160505, order=2853516944, volume=0.17, price=4191.813, bid=4191.813, ask=4191.973, comment='agentic-bot', request_id=648108172, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.17, price=0.0, stoplimit=0.0, sl=4194.422514285714, tp=4187.961971428573, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4192.269,4194.422514285714,4187.961971428573,1.9231428571428555,2.0,65,OPEN
2025-12-02 22:51:48,"OrderSendResult(retcode=10009, deal=2519165903, order=2853523582, volume=0.15, price=4192.186, bid=4192.186, ask=4192.346, comment='agentic-bot', request_id=648108174, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.15, price=0.0, stoplimit=0.0, sl=4194.412, tp=4187.044, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4191.956,4194.412,4187.044,1.9100000000000494,2.0,65,OPEN
2025-12-02 22:54:11,"OrderSendResult(retcode=10009, deal=2519178512, order=2853539467, volume=0.17, price=4191.173, bid=4191.173, ask=4191.333, comment='agentic-bot', request_id=648108177, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.17, price=0.0, stoplimit=0.0, sl=4194.303828571428, tp=4187.782342857144, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4192.13,4194.303828571428,4187.782342857144,1.7747857142858265,2.0,70,OPEN
2025-12-02 22:55:20,"OrderSendResult(retcode=10009, deal=2519184518, order=2853546882, volume=0.11, price=4189.984, bid=4189.984, ask=4190.144, comment='agentic-bot', request_id=648108181, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.11, price=0.0, stoplimit=0.0, sl=4194.321142857143, tp=4184.246714285713, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4190.963,4194.321142857143,4184.246714285713,1.7964285714286754,2.0,70,OPEN
2025-12-02 22:56:28,"OrderSendResult(retcode=10009, deal=2519190180, order=2853553972, volume=0.14, price=4192.176, bid=4192.176, ask=4192.336, comment='agentic-bot', request_id=648108183, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.14, price=0.0, stoplimit=0.0, sl=4194.338228571429, tp=4186.030542857144, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4191.569,4194.338228571429,4186.030542857144,1.8177857142858167,2.0,70,OPEN
2025-12-02 22:57:38,"OrderSendResult(retcode=10009, deal=2519196207, order=2853561233, volume=0.17, price=4191.953, bid=4191.953, ask=4192.113, comment='agentic-bot', request_id=648108189, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.17, price=0.0, stoplimit=0.0, sl=4194.344685714286, tp=4185.321942857141, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4192.089,4194.344685714286,4185.321942857141,1.8258571428572654,3.0,75,OPEN
2025-12-02 22:58:48,"OrderSendResult(retcode=10009, deal=2519205139, order=2853571746, volume=0.13, price=4191.72, bid=4191.72, ask=4191.88, comment='agentic-bot', request_id=648108191, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.13, price=0.0, stoplimit=0.0, sl=4194.286457142857, tp=4185.849085714286, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4191.474,4194.286457142857,4185.849085714286,1.7530714285715345,2.0,70,OPEN
2025-12-02 22:59:57,"OrderSendResult(retcode=10009, deal=2519209821, order=2853577785, volume=0.17, price=4192.037, bid=4192.037, ask=4192.197, comment='agentic-bot', request_id=648108199, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.17, price=0.0, stoplimit=0.0, sl=4194.213828571429, tp=4187.407342857141, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4191.945,4194.213828571429,4187.407342857141,1.6622857142857745,2.0,70,OPEN
2025-12-02 23:01:07,"OrderSendResult(retcode=10009, deal=2519216750, order=2853586119, volume=0.13, price=4192.792, bid=4192.792, ask=4192.952, comment='agentic-bot', request_id=648108208, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.13, price=0.0, stoplimit=0.0, sl=4194.709457142857, tp=4189.2570857142855, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4192.892,4194.709457142857,4189.2570857142855,1.6230714285714904,2.0,70,OPEN
2025-12-02 23:02:15,"OrderSendResult(retcode=10009, deal=2519230432, order=2853600753, volume=0.14, price=4195.377, bid=4195.377, ask=4195.537, comment='agentic-bot', request_id=648108210, retcode_external=0, request=TradeRequest(action=1, magic=123456, order=0, symbol='XAUUSDm', volume=0.14, price=0.0, stoplimit=0.0, sl=4197.6692571428575, tp=4192.727485714285, deviation=0, type=1, type_filling=0, type_time=0, expiration=0, comment='agentic-bot', position=0, position_by=0))",sell,4196.022,4197.6692571428575,4192.727485714285,1.7490714285715643,2.0,70,OPEN
